route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
40000011,22359,16638339,PARALIMNI,40000011,0
40000011,22359,16638340,PARALIMNI,40000011,0
40110011,22359,16638341,KONNOS,40110011,0
40090011,22359,16638342,AGIA NAPA,40090011,0
40090012,22359,16638343,E.A.C. DHEKELIA,40090012,1
40090011,22359,16638344,AGIA NAPA,40090011,0
40010011,22359,16638345,AG. NAPA (W/PARK),40010011,0
40010011,22359,16638346,AG. NAPA (W/PARK),40010011,0
40000011,22359,16638347,PARALIMNI,40000011,0
40130011,22359,16638348,AGIA NAPA,40130011,0
40130012,22359,16638349,STROVILIA,40130012,1
40130011,22359,16638350,AGIA NAPA,40130011,0
40080011,22359,16638351,KONNOS,40080011,0
40100011,22359,16638352,AGIA NAPA,40100011,0
40120011,22359,16638353,KONNOS,40120011,0
40020011,22359,16638354,WEST CIRCLE LINE,40020011,0
40020011,22359,16638355,WEST CIRCLE LINE,40020011,0
40020011,22359,16638356,WEST CIRCLE LINE,40020011,0
40000011,22359,16638357,PARALIMNI,40000011,0
40000011,22359,16638358,PARALIMNI,40000011,0
40010011,22359,16638359,AG. NAPA (W/PARK),40010011,0
40010011,22359,16638360,AG. NAPA (W/PARK),40010011,0
40050011,22359,16638361,DERYNEIA,40050011,0
40050011,22359,16638362,DERYNEIA,40050011,0
40120012,22359,16638363,STROVILIA,40120012,1
40150011,22359,16638364,LARNAKA,40150011,0
40150012,22359,16638365,CENTRAL BUS ST.,40150012,1
40010011,22359,16638366,AG. NAPA (W/PARK),40010011,0
40010011,22359,16638367,AG. NAPA (W/PARK),40010011,0
40000011,22359,16638368,PARALIMNI,40000011,0
40000011,22359,16638369,PARALIMNI,40000011,0
40100011,22359,16638370,AGIA NAPA,40100011,0
40090011,22359,16638371,AGIA NAPA,40090011,0
40010011,22359,16638372,AG. NAPA (W/PARK),40010011,0
40010011,22359,16638373,AG. NAPA (W/PARK),40010011,0
40040011,22359,16638374,DERYNEIA,40040011,0
40050011,22359,16638375,DERYNEIA,40050011,0
40050011,22359,16638376,DERYNEIA,40050011,0
40130011,22359,16638377,AGIA NAPA,40130011,0
40130012,22359,16638378,STROVILIA,40130012,1
40130011,22359,16638379,AGIA NAPA,40130011,0
40130012,22359,16638380,STROVILIA,40130012,1
40150011,22359,16638381,LARNAKA,40150011,0
40150012,22359,16638382,CENTRAL BUS ST.,40150012,1
40220011,22359,16638383,EAST CIRCLE LINE,40220011,0
40220011,22359,16638384,EAST CIRCLE LINE,40220011,0
40220011,22359,16638385,EAST CIRCLE LINE,40220011,0
40000011,22359,16638386,PARALIMNI,40000011,0
40000011,22359,16638387,PARALIMNI,40000011,0
40010011,22359,16638388,AG. NAPA (W/PARK),40010011,0
40010011,22359,16638389,AG. NAPA (W/PARK),40010011,0
40170011,22359,16638390,LARNAKA,40170011,0
40170012,22359,16638391,PARALIMNI,40170012,1
40160011,22359,16638392,LARNAKA,40160011,0
40160012,22359,16638393,PARALIMNI SQ. BUS,40160012,1
40030011,22359,16638394,CIRCLE LINE,40030011,0
40030011,22359,16638395,CIRCLE LINE,40030011,0
40030011,22359,16638396,CIRCLE LINE,40030011,0
40030011,22359,16638397,CIRCLE LINE,40030011,0
40030011,22359,16638398,CIRCLE LINE,40030011,0
40010011,22359,16638399,AG. NAPA (W/PARK),40010011,0
40010011,22359,16638400,AG. NAPA (W/PARK),40010011,0
40000011,22359,16638401,PARALIMNI,40000011,0
40000011,22359,16638402,PARALIMNI,40000011,0
40050011,22359,16638403,DERYNEIA,40050011,0
40120011,22359,16638404,KONNOS,40120011,0
40000011,22359,16638405,PARALIMNI,40000011,0
40040011,22359,16638406,DERYNEIA,40040011,0
40040011,22359,16638407,DERYNEIA,40040011,0
40100012,22359,16638408,DASAKI ACHNAS,40100012,1
40010011,22359,16638409,AG. NAPA (W/PARK),40010011,0
40010011,22359,16638410,AG. NAPA (W/PARK),40010011,0
40000011,22359,16638411,PARALIMNI,40000011,0
40050011,22359,16638412,DERYNEIA,40050011,0
40010011,22359,16638413,AG. NAPA (W/PARK),40010011,0
40000011,22359,16638414,PARALIMNI,40000011,0
40150011,22359,16638415,LARNAKA,40150011,0
40120011,22359,16638416,KONNOS,40120011,0
40100011,22359,16638417,AGIA NAPA,40100011,0
40100012,22359,16638418,DASAKI ACHNAS,40100012,1
40040011,22359,16638419,DERYNEIA,40040011,0
40160011,22359,16638420,LARNAKA,40160011,0
40160012,22359,16638421,PARALIMNI SQ. BUS,40160012,1
40170011,22359,16638422,LARNAKA,40170011,0
40170012,22359,16638423,PARALIMNI,40170012,1
40150011,22359,16638424,LARNAKA,40150011,0
40150012,22359,16638425,CENTRAL BUS ST.,40150012,1
40000011,22359,16638426,PARALIMNI,40000011,0
40040011,22359,16638427,DERYNEIA,40040011,0
40140012,22359,16638428,DERYNEIA,40140012,1
40000011,22359,16638429,PARALIMNI,40000011,0
40000011,22359,16638430,PARALIMNI,40000011,0
