route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
10320011,22736,16944166,CITY CENTRE,10320011,0
10320011,22736,16944167,CITY CENTRE,10320011,0
10320011,22736,16944168,CITY CENTRE,10320011,0
10320011,22736,16944169,CITY CENTRE,10320011,0
10320011,22736,16944170,CITY CENTRE,10320011,0
10320011,22736,16944171,CITY CENTRE,10320011,0
10320011,22736,16944172,CITY CENTRE,10320011,0
10320011,22736,16944173,CITY CENTRE,10320011,0
10320011,22736,16944174,CITY CENTRE,10320011,0
10320011,22736,16944175,CITY CENTRE,10320011,0
10160022,22736,16944176,KOURION BEACH,10160022,1
10160021,22736,16944177,LEONTIOU EMEL ST.,10160021,0
10160022,22736,16944178,KOURION BEACH,10160022,1
10160021,22736,16944179,LEONTIOU EMEL ST.,10160021,0
10160022,22736,16944180,KOURION BEACH,10160022,1
10160021,22736,16944181,LEONTIOU EMEL ST.,10160021,0
10160022,22736,16944182,KOURION BEACH,10160022,1
10160021,22736,16944183,LEONTIOU EMEL ST.,10160021,0
10160022,22736,16944184,KOURION BEACH,10160022,1
15700011,22736,16944185,KELLAKI,15700011,0
15700011,22736,16944186,KELLAKI,15700011,0
15700012,22736,16944187,PRASTIO,15700012,1
15700012,22736,16944188,PRASTIO,15700012,1
15700011,22736,16944189,KELLAKI,15700011,0
15700012,22736,16944190,PRASTIO,15700012,1
15710011,22736,16944191,KELLAKI,15710011,0
15710012,22736,16944192,VIKLA,15710012,1
15710011,22736,16944193,KELLAKI,15710011,0
15710012,22736,16944194,VIKLA,15710012,1
10300011,22736,16944195,PARKLANE HOTEL,10300011,0
10300012,22736,16944196,MY MALL,10300012,1
10300011,22736,16944197,PARKLANE HOTEL,10300011,0
10300012,22736,16944198,MY MALL,10300012,1
10300011,22736,16944199,PARKLANE HOTEL,10300011,0
10300012,22736,16944200,MY MALL,10300012,1
10300011,22736,16944201,PARKLANE HOTEL,10300011,0
10300012,22736,16944202,MY MALL,10300012,1
15690011,22736,16944203,EPTAGONEIA,15690011,0
15690011,22736,16944204,EPTAGONEIA,15690011,0
15690012,22736,16944205,MELINI,15690012,1
15690011,22736,16944206,EPTAGONEIA,15690011,0
15690012,22736,16944207,MELINI,15690012,1
10040012,22736,16944208,ROAD TRAFFIC AUTH,10040012,1
10040011,22736,16944209,LEONTIOU EMEL ST.,10040011,0
10040012,22736,16944210,ROAD TRAFFIC AUTH,10040012,1
10040011,22736,16944211,LEONTIOU EMEL ST.,10040011,0
10040012,22736,16944212,ROAD TRAFFIC AUTH,10040012,1
10040011,22736,16944213,LEONTIOU EMEL ST.,10040011,0
10040012,22736,16944214,ROAD TRAFFIC AUTH,10040012,1
10040011,22736,16944215,LEONTIOU EMEL ST.,10040011,0
10040012,22736,16944216,ROAD TRAFFIC AUTH,10040012,1
10040011,22736,16944217,LEONTIOU EMEL ST.,10040011,0
10040012,22736,16944218,ROAD TRAFFIC AUTH,10040012,1
10040011,22736,16944219,LEONTIOU EMEL ST.,10040011,0
10030012,22736,16944220,AGIOS ATHANASIOS,10030012,1
10030011,22736,16944221,LEONTIOU EMEL ST.,10030011,0
10030012,22736,16944222,AGIOS ATHANASIOS,10030012,1
10030011,22736,16944223,LEONTIOU EMEL ST.,10030011,0
10030012,22736,16944224,AGIOS ATHANASIOS,10030012,1
10030011,22736,16944225,LEONTIOU EMEL ST.,10030011,0
10030012,22736,16944226,AGIOS ATHANASIOS,10030012,1
10030011,22736,16944227,LEONTIOU EMEL ST.,10030011,0
10030012,22736,16944228,AGIOS ATHANASIOS,10030012,1
10030011,22736,16944229,LEONTIOU EMEL ST.,10030011,0
10650011,22736,16944230,LEMESOS,10650011,0
10650012,22736,16944231,AGIOS MAMAS,10650012,1
10650011,22736,16944232,LEMESOS,10650011,0
10650012,22736,16944233,AGIOS MAMAS,10650012,1
10650011,22736,16944234,LEMESOS,10650011,0
10650012,22736,16944235,AGIOS MAMAS,10650012,1
10800011,22736,16944236,LEMESOS,10800011,0
